ANode,BNode,LinkID
30764,30839,30764_30839
30764,31952,30764_31952
30765,32160,30765_32160
30765,31980,30765_31980
30766,31194,30766_31194
30766,30992,30766_30992
30767,32057,30767_32057
30767,30958,30767_30958
30768,31060,30768_31060
30768,31193,30768_31193
30769,32165,30769_32165
30769,31996,30769_31996
30770,32369,30770_32369
30771,40508,30771_40508
30771,31440,30771_31440
30772,31147,30772_31147
30772,31877,30772_31877
30773,42225,30773_42225
30773,31162,30773_31162
30774,31022,30774_31022
30774,30364,30774_30364
30775,32224,30775_32224
30775,31129,30775_31129
30776,32114,30776_32114
30776,32044,30776_32044
30777,31777,30777_31777
30777,31368,30777_31368
30778,31420,30778_31420
30778,30551,30778_30551
30779,42261,30779_42261
30779,30735,30779_30735
30780,30550,30780_30550
30780,31853,30780_31853
30781,38708,30781_38708
30781,31020,30781_31020
30781,32136,30781_32136
30782,31424,30782_31424
30782,30838,30782_30838
30783,31044,30783_31044
30783,30924,30783_30924
30784,31125,30784_31125
30784,32343,30784_32343
30785,31363,30785_31363
30785,42246,30785_42246
30785,39882,30785_39882
30786,31043,30786_31043
30786,30789,30786_30789
30787,31118,30787_31118
30787,39951,30787_39951
30787,31363,30787_31363
30788,32134,30788_32134
30788,31198,30788_31198
30789,30786,30789_30786
30789,30864,30789_30864
30790,31614,30790_31614
30790,30800,30790_30800
30791,32257,30791_32257
30791,31169,30791_31169
30792,43360,30792_43360
30792,30890,30792_30890
30793,31225,30793_31225
30793,41515,30793_41515
30794,31381,30794_31381
30794,30840,30794_30840
30795,32176,30795_32176
30795,31385,30795_31385
30796,31169,30796_31169
30796,32184,30796_32184
30797,32125,30797_32125
30797,35717,30797_35717
30798,32053,30798_32053
30798,32251,30798_32251
30799,30552,30799_30552
30799,31999,30799_31999
30800,30790,30800_30790
30800,42965,30800_42965
30801,32067,30801_32067
30801,38758,30801_38758
30801,32066,30801_32066
30802,31984,30802_31984
30802,31400,30802_31400
30803,41383,30803_41383
30803,31413,30803_31413
30804,39906,30804_39906
30804,31992,30804_31992
30804,31990,30804_31990
30805,32223,30805_32223
30805,32051,30805_32051
30806,30821,30806_30821
30806,40917,30806_40917
30806,32214,30806_32214
30807,31374,30807_31374
30807,32271,30807_32271
30808,30824,30808_30824
30808,31145,30808_31145
30809,30913,30809_30913
30809,32199,30809_32199
30810,38636,30810_38636
30810,32140,30810_32140
30810,42956,30810_42956
30811,32146,30811_32146
30811,31891,30811_31891
30812,31887,30812_31887
30812,30330,30812_30330
30813,31391,30813_31391
30813,31307,30813_31307
30814,42713,30814_42713
30815,31017,30815_31017
30815,31473,30815_31473
30816,30846,30816_30846
30816,42958,30816_42958
30817,41609,30817_41609
30817,32150,30817_32150
30818,30866,30818_30866
30818,31392,30818_31392
30819,31175,30819_31175
30819,31436,30819_31436
30820,31406,30820_31406
30820,38557,30820_38557
30820,30559,30820_30559
30821,31977,30821_31977
30821,30806,30821_30806
30822,32472,30822_32472
30822,42256,30822_42256
30822,41044,30822_41044
30823,30313,30823_30313
30824,30997,30824_30997
30824,30808,30824_30808
30824,37645,30824_37645
30825,30840,30825_30840
30825,42258,30825_42258
30826,36128,30826_36128
30826,30874,30826_30874
30826,30835,30826_30835
30827,32260,30827_32260
30827,30925,30827_30925
30828,32030,30828_32030
30828,39035,30828_39035
30829,32336,30829_32336
